sta_ft,elev_ft
0,1333.392
0.656,1333.402
2.171,1333.299
2.171,1333.299
2.551,1333.297
3.431,1333.313
3.686,1333.313
3.686,1333.313
3.877,1333.303
5.201,1333.25
5.203,1333.25
5.216,1333.248
6.529,1333.072
6.716,1333.04
6.966,1333.05
7.855,1333.059
8.232,1333.076
8.232,1333.076
8.734,1333.021
9.181,1332.949
9.747,1332.897
9.747,1332.897
10.502,1332.587
10.506,1332.585
11.262,1332.246
11.832,1332.066
12.27,1331.949
12.777,1331.795
12.777,1331.795
13.158,1331.738
14.038,1331.638
14.293,1331.603
15.808,1331.469
15.823,1331.467
15.823,1331.467
17.323,1331.264
17.323,1331.264
17.573,1331.196
18.461,1330.965
18.838,1330.862
18.838,1330.862
19.787,1330.607
20.353,1330.451
20.353,1330.451
21.109,1330.329
21.113,1330.328
21.869,1330.21
21.869,1330.21
22.439,1330.127
22.876,1330.058
23.384,1329.982
23.384,1329.982
23.765,1329.949
24.644,1329.925
24.899,1329.906
25.09,1329.887
26.412,1329.688
26.414,1329.688
26.414,1329.688
26.416,1329.687
26.43,1329.686
27.742,1329.535
27.93,1329.523
27.93,1329.523
28.18,1329.518
29.068,1329.481
29.445,1329.478
29.445,1329.478
29.947,1329.515
30.394,1329.569
30.96,1329.603
31.715,1329.617
32.475,1329.638
33.045,1329.825
33.483,1330.009
33.991,1330.187
33.991,1330.187
34.371,1330.356
35.251,1330.777
35.506,1330.893
35.506,1330.893
35.697,1330.989
37.018,1331.623
37.021,1331.625
37.021,1331.625
37.023,1331.626
37.037,1331.633
37.037,1331.633
38.349,1332.335
38.536,1332.428
38.536,1332.428
38.786,1332.525
39.675,1332.852
40.051,1333
40.051,1333
40.554,1333.067
41,1333.131
41.567,1333.205
42.322,1333.172
42.326,1333.171
43.082,1333.143
43.082,1333.143
43.652,1333.132
44.089,1333.104
44.597,1333.089
44.597,1333.089
44.978,1333.078
46.112,1333.022
46.112,1333.022
46.304,1333.029
47.625,1333.094
47.63,1333.094
47.643,1333.094
47.643,1333.094
48.955,1333.098
49.143,1333.098
49.143,1333.098
49.393,1333.114
50,1333.154
,
,
,
,
,
,
,
,
,
,
,
