sta_ft,elev_ft
0,1331.494
0.168,1331.509
0.331,1331.49
1.417,1331.319
1.674,1331.291
2.144,1331.229
3.087,1331.205
4.527,1331.136
4.672,1331.127
5.451,1331.088
5.771,1331.078
6.099,1331.063
6.099,1331.063
6.374,1331.05
6.87,1331.018
7.103,1331.007
7.103,1331.007
7.297,1331
7.97,1330.977
8.106,1330.973
8.106,1330.973
9.069,1330.79
9.11,1330.783
9.11,1330.783
9.144,1330.774
9.539,1330.688
9.539,1330.688
10.068,1330.571
10.114,1330.561
10.114,1330.561
10.169,1330.547
10.991,1330.34
11.118,1330.308
11.118,1330.308
11.915,1330.132
12.121,1330.087
12.121,1330.087
12.367,1330.029
12.838,1329.911
13.125,1329.844
13.467,1329.764
13.762,1329.699
14.129,1329.613
14.129,1329.613
14.566,1329.503
14.685,1329.473
15.133,1329.36
15.133,1329.36
15.609,1329.24
15.665,1329.228
16.136,1329.112
16.136,1329.112
16.532,1329.008
16.765,1328.943
17.14,1328.844
17.14,1328.844
17.456,1328.765
17.864,1328.664
18.144,1328.594
18.144,1328.594
18.379,1328.535
18.964,1328.39
19.148,1328.344
19.148,1328.344
19.303,1328.325
20.063,1328.23
20.152,1328.219
20.226,1328.223
21.082,1328.277
21.082,1328.277
21.149,1328.281
21.155,1328.281
21.155,1328.281
21.162,1328.282
22.073,1328.338
22.159,1328.344
22.159,1328.344
22.262,1328.349
22.996,1328.393
23.163,1328.401
23.163,1328.401
23.361,1328.409
23.92,1328.426
24.167,1328.438
24.167,1328.438
24.46,1328.456
24.843,1328.48
25.17,1328.5
25.17,1328.5
25.56,1328.524
26.174,1328.563
26.174,1328.563
26.69,1328.595
27.178,1328.625
27.178,1328.625
28.537,1328.684
28.858,1328.704
29.186,1328.719
29.186,1328.719
29.461,1328.736
29.957,1328.767
30.384,1328.793
31.193,1328.844
31.193,1328.844
31.308,1328.855
32.156,1328.962
32.197,1328.966
32.231,1328.998
32.625,1329.422
32.625,1329.422
33.155,1329.987
33.201,1330.036
33.256,1330.075
34.078,1330.669
34.204,1330.759
34.204,1330.759
34.712,1330.466
34.799,1330.434
34.961,1330.469
36.047,1330.773
36.304,1330.824
36.304,1330.824
36.61,1330.847
37.432,1330.934
37.81,1330.96
37.81,1330.96
38.26,1330.945
38.818,1330.932
39.316,1330.915
39.316,1330.915
39.909,1330.913
40.203,1330.901
40.821,1330.903
40.821,1330.903
41.558,1330.959
41.588,1330.962
42.327,1331.015
42.327,1331.015
42.973,1330.933
43.207,1330.914
43.833,1330.84
43.833,1330.84
44.358,1330.848
44.856,1330.828
45.338,1330.831
45.338,1330.831
45.744,1330.863
46.505,1330.906
46.844,1330.932
46.844,1330.932
47.129,1330.918
48.154,1330.845
48.35,1330.835
48.35,1330.835
48.514,1330.83
49.803,1330.876
49.855,1330.875
49.855,1330.875
49.899,1330.873
50,1330.865
