flow_cfs,wse_ft_navd88
0.44,1331.98
3.0,1332.14
6.0,1332.23
7.1,1332.26
7.1,1332.26
7.1,1332.26
7.1,1332.26
16.7,1332.41
19.1,1332.44
19.4,1332.45
19.6,1332.45
19.7,1332.45
19.7,1332.45
19.7,1332.45
19.7,1332.45
19.8,1332.45
19.8,1332.45
19.9,1332.45
19.9,1332.45
20.0,1332.45
20.0,1332.45
20.0,1332.45
20.0,1332.45
20.0,1332.46
20.1,1332.46
20.1,1332.46
20.2,1332.46
20.2,1332.46
20.2,1332.46
20.2,1332.46
20.2,1332.46
